55 2:19,4:7,5:6,10:1,12:13,13:6,17:4,18:6,22:1,23:1,30:11,32:4,33:6,46:8,60:1,73:1,82:1,89:1,103:5,116:1,118:5,134:1,162:1,184:1,201:3,212:5,234:5,260:3,268:4,274:4,275:1,279:4,297:1,351:6,404:9,449:4,462:1,484:4,517:6,521:5,730:5,814:1,878:1,1003:10,1133:5,1649:7,2090:5,2258:1,2358:1,2740:4,3016:1,3024:1,3270:7,3741:9,4435:4
172 1:79,2:66,3:15,4:7,5:8,6:9,7:5,8:5,9:4,10:57,11:5,12:4,13:2,14:3,15:2,17:1,18:6,19:1,20:56,21:4,22:3,23:2,24:1,25:5,28:6,29:3,30:2,31:2,32:5,33:6,34:4,35:3,36:4,37:2,41:2,43:2,44:3,45:4,48:1,49:2,50:1,51:2,52:5,54:2,57:2,58:3,59:1,62:1,63:2,64:1,68:1,70:1,76:1,78:8,81:1,94:2,95:3,101:1,105:1,106:1,109:3,115:3,122:2,123:1,126:1,133:1,134:1,135:1,136:1,144:1,157:1,168:1,190:2,195:1,203:1,207:2,212:1,215:1,216:3,223:1,228:1,229:1,230:1,234:1,239:1,241:2,242:1,251:1,252:1,258:1,287:1,302:1,304:2,310:1,318:1,326:2,337:1,338:1,339:2,358:1,373:1,378:7,384:2,389:2,393:1,456:1,461:1,464:1,465:1,470:2,486:51,521:2,548:1,555:2,563:1,564:1,601:1,631:1,637:1,661:1,707:1,748:1,772:1,779:1,787:1,793:2,876:1,880:1,890:1,1036:1,1037:2,1080:1,1144:1,1146:1,1180:2,1192:1,1197:1,1214:1,1260:1,1267:1,1341:1,1366:1,1368:1,1381:1,1463:1,1466:1,1520:1,1665:1,1686:1,1848:1,2011:1,2019:1,2063:1,2087:2,2189:1,2255:1,2284:1,2321:1,2397:1,2691:1,2757:1,3012:1,3032:1,3179:1,3339:1,3609:1,3627:1,3745:1,4335:1,4457:1,4600:1,4632:1
17 1:3,2:3,3:2,7:4,8:1,9:3,11:1,12:1,59:1,131:2,137:1,149:3,168:3,271:2,343:1,955:1,1020:1
36 1:1,6:5,7:1,10:1,41:1,47:1,102:1,112:1,128:3,151:1,179:1,272:1,288:2,296:4,298:1,309:5,412:2,614:1,719:1,746:2,857:4,943:1,1014:4,1243:2,1504:1,1754:1,2171:1,2294:1,2681:1,2746:1,2758:1,3755:3,4449:2,4462:1,4524:3,4975:1
109 1:28,2:7,3:12,4:3,5:4,6:3,7:1,8:11,9:3,10:1,11:3,12:8,13:4,14:4,15:14,16:1,17:1,18:1,20:1,22:2,27:14,28:5,29:2,30:4,31:2,33:2,34:2,35:7,39:10,45:1,51:1,55:2,61:6,63:1,64:1,69:1,72:1,74:1,76:6,78:1,82:3,89:1,95:1,99:6,105:1,131:1,132:1,133:1,135:3,136:4,139:1,146:2,147:1,149:1,155:1,170:4,180:1,184:8,185:2,186:1,210:1,212:1,225:8,227:2,233:2,239:1,244:1,258:1,265:1,269:1,274:1,276:1,280:3,289:1,307:1,318:1,328:2,336:1,339:1,344:1,395:1,542:1,546:1,610:3,692:2,739:1,743:1,767:1,868:8,876:2,909:1,1008:1,1085:8,1094:1,1515:1,1526:1,1656:2,1692:1,1849:1,2090:1,2261:1,2360:3,2401:2,2413:1,2423:1,2546:1,3905:1,4174:1,4782:1
89 1:9,2:8,4:8,5:9,6:5,7:2,8:2,9:2,10:4,11:3,12:3,16:1,17:1,20:4,21:2,22:3,23:1,26:1,27:1,29:1,30:2,35:1,37:1,41:3,44:2,48:1,50:1,58:1,69:1,72:1,73:1,80:2,81:1,83:1,85:1,91:1,106:1,119:1,133:3,154:1,159:1,185:1,187:1,234:1,245:1,276:1,293:1,302:4,310:1,320:2,344:1,395:1,418:2,444:1,458:1,459:1,461:1,483:1,487:2,513:1,519:1,534:2,545:1,546:1,563:1,622:1,680:1,753:1,803:1,868:1,875:1,930:1,935:2,1174:1,1189:2,1438:1,1490:1,1662:1,1692:1,1781:1,1941:5,1967:1,2070:1,2276:1,2900:1,2985:1,3211:1,3631:1,4690:1
64 1:4,2:13,3:9,4:7,5:1,8:3,10:1,12:3,14:8,15:4,18:2,21:6,22:2,23:4,26:3,29:4,30:1,41:1,49:1,58:1,59:3,63:1,64:2,75:2,81:2,86:1,92:2,99:1,115:2,171:4,172:1,180:1,191:1,196:2,235:1,255:1,257:1,330:2,367:1,410:1,415:1,459:1,554:2,613:1,628:2,634:1,705:1,745:1,755:1,761:1,814:1,837:2,880:1,1095:2,1289:1,1787:1,1883:1,1939:2,1962:1,1963:2,1979:2,2100:1,3987:1,4106:2
30 38:1,42:4,47:9,117:6,177:2,181:2,243:3,273:2,397:2,401:2,405:1,408:1,428:2,457:2,722:5,744:1,1134:2,1499:2,1608:2,1659:5,1719:3,1723:1,1774:6,1802:2,2527:2,2646:1,2760:1,2962:2,3986:2,4570:2
66 1:17,2:9,3:3,4:10,5:2,6:2,7:1,8:4,11:2,12:2,14:1,17:2,18:4,20:2,25:2,28:1,30:1,33:3,35:1,39:1,41:1,44:1,51:3,56:2,62:3,64:4,66:6,71:1,72:1,89:1,94:4,124:4,153:1,155:3,173:8,185:1,200:2,202:4,211:1,232:1,239:4,262:4,307:1,318:1,358:4,360:2,366:2,394:4,395:1,470:1,471:2,591:8,690:4,693:1,848:1,867:1,871:2,894:4,899:1,911:1,1242:2,2769:2,3401:2,3718:1,4029:2,4082:1
55 1:7,2:9,3:23,4:4,5:7,7:6,10:1,12:1,13:1,14:1,18:12,20:3,28:2,31:3,33:6,34:2,36:1,37:8,41:3,43:1,48:1,49:6,51:3,55:3,56:3,61:1,63:3,64:2,68:3,82:1,86:2,109:3,115:3,116:3,120:3,124:1,133:8,139:8,153:3,182:8,202:3,224:1,245:1,281:1,306:1,381:1,407:3,540:2,585:2,646:2,704:2,988:3,999:2,1021:1,1304:3
